#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration	promotions
1000	0	998	2	1000	0	696	304	0.0004071045614371632	8.8	57.6	15
2000	0	1993	7	1000	0	680	320	0.0003885224633657266	12.0	99.8	20
3000	0	2989	11	1000	0	719	281	0.0003885224633657266	11.5	80.1	25
4000	0	3981	19	1000	0	712	288	0.00027927261239760133	11.4	81.5	25
5000	0	4970	30	1000	0	648	352	0.00027927261239760133	11.4	79.8	17
6000	0	5967	33	1000	0	666	334	0.00027927261239760133	12.0	89.6	7
7000	0	6957	43	1000	0	683	317	0.00027927261239760133	11.1	75.6	29
8000	0	7943	57	1000	0	659	341	0.00027927261239760133	11.9	81.2	16
9000	0	8929	71	1000	0	525	475	0.0002222351250906906	11.8	80.3	18
10000	0	9917	83	1000	0	454	546	0.0002222351250906906	13.1	89.3	33
11000	0	10912	88	1000	0	450	550	0.0002222351250906906	12.9	96.4	32
12000	0	11910	90	1000	0	484	516	0.00017888686279827625	13.7	103.2	21
13000	0	12909	91	1000	0	691	309	0.00017888686279827625	12.6	90.0	30
14000	0	13906	94	1000	0	550	450	0.00017888686279827625	13.1	92.5	22
15000	0	14900	100	1000	0	615	385	0.00017888686279827625	12.6	89.5	21
16000	0	15896	104	1000	0	710	290	0.00017888686279827625	11.8	86.5	18
17000	0	16891	109	1000	0	848	152	0.00015998378118259332	10.2	71.3	18
18000	0	17887	113	1000	0	866	134	0.00015998378118259332	9.5	71.0	16
19000	0	18881	119	1000	0	833	167	0.00015998378118259332	9.9	75.0	24
20000	0	19872	128	1000	0	830	170	0.00015998378118259332	10.2	78.7	11
21000	0	20869	131	1000	0	849	151	0.00015998378118259332	9.6	71.4	13
22000	0	21862	138	1000	0	791	209	0.0001333935117534188	9.8	59.0	22
23000	0	22858	142	1000	0	781	219	0.0001333935117534188	10.1	69.4	9
24000	0	23852	148	1000	0	824	176	0.0001333935117534188	9.4	63.6	21
25000	0	24849	151	1000	0	767	233	0.0001333935117534188	9.8	67.2	30
26000	0	25841	159	1000	0	735	265	0.0001333935117534188	10.8	73.4	37
27000	0	26838	162	1000	0	785	215	0.0001333935117534188	10.1	68.5	33
28000	0	27831	169	1000	0	796	204	0.0001333935117534188	10.3	69.5	29
29000	0	28826	174	1000	0	794	206	0.0001333935117534188	10.2	69.0	13
30000	0	29824	176	1000	0	819	181	0.0001333935117534188	9.5	64.7	17
31000	0	30817	183	1000	0	800	200	0.0001333935117534188	9.7	66.1	29
32000	0	31805	195	1000	0	749	251	0.0001333935117534188	10.3	69.8	24
33000	0	32802	198	1000	0	802	198	0.0001333935117534188	9.5	64.6	19
34000	0	33797	203	1000	0	801	199	0.0001333935117534188	9.4	63.9	34
35000	0	34792	208	1000	0	791	209	0.0001333935117534188	9.9	67.2	22
36000	0	35788	212	1000	0	769	231	0.0001333935117534188	9.7	66.0	12
37000	0	36776	224	1000	0	801	199	0.0001333935117534188	9.6	65.3	29
38000	0	37774	226	1000	0	771	229	0.0001333935117534188	9.6	65.2	18
39000	0	38771	229	1000	0	790	210	0.0001333935117534188	9.9	69.4	20
40000	0	39763	237	1000	0	857	143	0.0001333935117534188	9.2	62.3	11
41000	0	40752	248	1000	0	817	183	0.0001333935117534188	9.4	64.0	29
42000	0	41743	257	1000	0	815	185	0.0001333935117534188	9.3	62.6	19
43000	0	42737	263	1000	0	806	194	0.0001333935117534188	10.0	67.0	30
44000	0	43727	273	1000	0	806	194	0.0001333935117534188	9.5	64.7	30
45000	0	44721	279	1000	0	810	190	0.0001333935117534188	8.9	60.7	23
46000	0	45718	282	1000	0	825	175	0.0001333935117534188	9.4	63.8	31
47000	0	46712	288	1000	0	779	221	0.0001333935117534188	9.5	64.0	29
48000	0	47706	294	1000	0	854	146	0.0001333935117534188	8.9	60.4	24
49000	0	48698	302	1000	0	863	137	0.0001333935117534188	8.2	55.5	27
50000	0	49685	315	1000	0	811	189	0.0001333935117534188	9.5	64.6	33
51000	0	50678	322	1000	0	790	210	0.0001333935117534188	10.1	68.5	26
52000	0	51674	326	1000	0	818	182	0.0001333935117534188	9.5	63.9	32
53000	0	52670	330	1000	0	812	188	0.0001333935117534188	9.2	61.7	28
54000	0	53665	335	1000	0	807	193	0.0001333935117534188	9.1	61.8	30
55000	0	54656	344	1000	0	803	197	0.0001333935117534188	9.4	64.3	29
56000	0	55648	352	1000	0	775	225	0.0001333935117534188	9.8	66.2	24
57000	0	56644	356	1000	0	791	209	0.0001333935117534188	9.6	65.0	25
58000	0	57639	361	1000	0	821	179	0.0001333935117534188	9.2	62.7	27
59000	0	58635	365	1000	0	801	199	0.0001333935117534188	9.6	64.8	24
60000	0	59631	369	1000	0	784	216	0.0001333935117534188	9.8	66.6	32
61000	0	60624	376	1000	0	801	199	0.0001333935117534188	9.7	65.6	32
62000	0	61621	379	1000	0	801	199	0.0001333935117534188	9.6	64.7	24
63000	0	62618	382	1000	0	821	179	0.0001333935117534188	9.3	62.8	28
64000	0	63612	388	1000	0	771	229	0.0001333935117534188	10.5	70.7	32
65000	0	64603	397	1000	0	772	228	0.0001333935117534188	9.7	66.4	29
66000	0	65599	401	1000	0	751	249	0.0001333935117534188	10.6	71.4	21
67000	0	66595	405	1000	0	536	464	0.00012794134297607773	12.4	83.8	21
68000	0	67589	411	1000	0	520	480	0.00012794134297607773	12.6	86.0	15
69000	0	68579	421	1000	0	551	449	0.00012794134297607773	12.3	83.3	22
70000	0	69573	427	1000	0	559	441	0.00012794134297607773	12.2	82.9	16
71000	0	70566	434	1000	0	577	423	0.00012794134297607773	11.7	78.2	16
72000	0	71559	441	1000	0	553	447	0.00012794134297607773	12.5	84.9	12
73000	0	72548	452	1000	0	553	447	0.00012794134297607773	12.0	80.8	29
74000	0	73541	459	1000	0	540	460	0.00012794134297607773	12.5	84.7	20
75000	0	74534	466	1000	0	566	434	0.00012794134297607773	12.1	81.7	18
76000	0	75526	474	1000	0	549	451	0.00012794134297607773	12.2	82.4	20
77000	0	76514	486	1000	0	516	484	0.00012794134297607773	12.2	82.7	10
78000	0	77509	491	1000	0	544	456	0.00012794134297607773	12.6	85.3	5
79000	0	78502	498	1000	0	570	430	0.00012794134297607773	11.5	78.0	12
80000	0	79491	509	1000	0	553	447	0.00012794134297607773	12.3	83.5	20
81000	0	80487	513	1000	0	518	482	0.00012794134297607773	12.9	87.9	33
82000	0	81480	520	1000	0	529	471	0.00012794134297607773	12.3	83.4	9
83000	0	82475	525	1000	0	524	476	0.00012794134297607773	12.6	85.3	22
84000	0	83471	529	1000	0	499	501	0.00012794134297607773	12.9	87.1	22
85000	0	84462	538	1000	0	530	470	0.00012794134297607773	12.4	83.6	21
86000	0	85454	546	1000	0	593	407	0.00012794134297607773	11.7	79.7	33
87000	0	86448	552	1000	0	573	427	0.00012794134297607773	12.2	82.5	35
88000	0	87439	561	1000	0	597	403	0.00012794134297607773	11.2	76.1	29
89000	0	88431	569	1000	0	567	433	0.00012794134297607773	11.8	79.3	19
90000	0	89423	577	1000	0	527	473	0.00012794134297607773	12.7	86.2	28
91000	0	90418	582	1000	0	580	420	0.00012794134297607773	11.8	79.7	8
92000	0	91410	590	1000	0	548	452	0.00012794134297607773	12.3	83.0	16
93000	0	92403	597	1000	0	543	457	0.00012794134297607773	11.8	79.3	22
94000	0	93402	598	1000	0	585	415	0.00012794134297607773	11.8	82.9	20
95000	0	94386	614	1000	0	521	479	0.00012794134297607773	12.2	82.9	22
96000	0	95375	625	1000	0	587	413	0.00012794134297607773	11.6	78.6	26
97000	0	96369	631	1000	0	566	434	0.00012794134297607773	11.7	79.1	25
98000	0	97366	634	1000	0	600	400	0.00012794134297607773	11.4	77.5	19
99000	0	98358	642	1000	0	737	263	0.00012503377115943073	9.7	66.7	8
100000	0	99351	649	1000	0	735	265	0.00012503377115943073	9.9	68.2	14
duration: 31878.7s
